32100.0	9600.0	a
70100.0	4500.0	a
20500.0	7200.0	a
57900.0	13300.0	a
49200.0	14300.0	a
77000.0	4000.0	a
66200.0	6500.0	a
66800.0	17500.0	a
51700.0	6000.0	a
48100.0	11400.0	a
74400.0	16200.0	a
64700.0	11000.0	a
39100.0	16800.0	a
43500.0	1400.0	a
60500.0	10800.0	a
73400.0	1600.0	a
56600.0	5200.0	a
61300.0	2900.0	a
60800.0	15600.0	a
30700.0	5200.0	a
24000.0	7900.0	a
66100.0	19600.0	a
70800.0	14100.0	a
66500.0	5400.0	a
59300.0	12700.0	a
77400.0	6000.0	a
33000.0	13100.0	a
65800.0	15200.0	a
60300.0	10600.0	a
41500.0	11800.0	a
71700.0	7300.0	a
46100.0	18000.0	a
53000.0	4400.0	a
66400.0	10100.0	a
22700.0	16400.0	a
28400.0	16500.0	a
47300.0	19000.0	a
71500.0	3200.0	a
22400.0	1900.0	a
69100.0	9500.0	a
70900.0	4400.0	a
36600.0	9800.0	a
34200.0	3300.0	a
56800.0	16100.0	a
71600.0	3000.0	a
56900.0	13800.0	a
60200.0	6600.0	a
46300.0	8900.0	a
56000.0	10800.0	a
26500.0	2900.0	a
48900.0	12600.0	a
63300.0	9900.0	a
31300.0	18500.0	a
38700.0	19300.0	a
70600.0	14700.0	a
61500.0	16000.0	a
21600.0	9900.0	a
53900.0	2000.0	a
34900.0	16200.0	a
73300.0	18800.0	a
76800.0	7700.0	a
52400.0	10300.0	a
72200.0	4900.0	a
42000.0	1900.0	a
55600.0	3400.0	a
31800.0	8300.0	a
58700.0	14100.0	a
53900.0	17800.0	a
48000.0	18300.0	a
55000.0	12800.0	a
50000.0	9700.0	a
53600.0	6000.0	a
51000.0	4500.0	a
65000.0	12100.0	a
43100.0	3700.0	a
26800.0	18600.0	a
38100.0	19500.0	a
28600.0	5200.0	a
68700.0	6700.0	a
65300.0	3000.0	a
32100.0	7500.0	a
54600.0	9300.0	a
38300.0	13200.0	a
72500.0	19600.0	a
79900.0	18700.0	a
23100.0	11500.0	a
23500.0	4800.0	a
62300.0	10000.0	a
22700.0	4000.0	a
64500.0	8600.0	a
66400.0	7200.0	a
27100.0	7300.0	a
57700.0	1600.0	a
47400.0	8800.0	a
24400.0	17000.0	a
37700.0	1500.0	a
57700.0	3100.0	a
27400.0	16500.0	a
25300.0	12800.0	a
44000.0	6300.0	a
